7	893719783/52-229
7	4553814047/271-448
7	784046966/60-237
7	941388317/248-426
7	284953349/253-430
7	43130102/251-429
7	6274092333/250-427
7	980927410/94-272
7	5610387023/56-211
7	1116831870/1-136
7	3447260299/55-189
7	199394972/125-238
7	1084210197/249-355
7	3622782058/1-89
8	1404883431/3-125
8	1258609048/3-125
8	464450002/3-125
8	3005976962/3-125
8	6174777213/1-123
8	2641153883/3-125
8	989583793/3-125
8	932730795/1-118
8	316199356/176-292
8	4632529407/20-136
8	2752492704/50-166
8	3327357666/1-123
8	281747528/43-159
8	3005976962/549-665
8	1404883431/556-672
8	881491823/51-166
8	1373190281/318-434
8	954135494/86-202
8	102183101/141-257
8	989583793/556-676
8	2620698328/2-124
8	968141061/126-246
8	1090846748/247-357
8	2757085857/160-253
8	1810774511/3-91
8	6102383063/1-102
8	2519218159/1-107
8	3978309779/1-98
8	1144888573/209-285
8	136929956/1-91
8	136929956/143-176
8	6188175207/64-111
8	2556198371/151-203
8	1587592675/39-99
8	2783439409/73-105
8	2783439409/151-179
9	291382574/70-232
9	829213905/81-243
9	1049996054/74-235
9	4614306875/72-234
9	2527519717/72-227
9	1051947394/86-240
9	662548391/69-222
9	903445933/147-300
9	575564420/71-235
9	5991455081/140-295
9	846600502/75-233
9	3251098866/165-316
9	2600241755/165-314
9	1189010316/77-234
9	2630668154/10-179
9	1604344018/67-217
9	1817525685/15-161
9	1288852967/138-280
9	1549579179/76-212
9	1814021939/35-181
9	1710327792/200-338
9	3387072981/122-238
9	1416124303/160-304
9	2753963128/98-229
9	6260401841/8-116
9	1561964808/58-201
9	264038152/1-73
9	3867977857/179-311
9	865965261/118-232
